latitude_standardized,longitude_standardized,dataset_source,event_date,event_date_standardized,event_year,event_month,usable_event_date,usable_event_year,usable_event_month,temporal_data_type
27.163,94.0,India_Media_Catalog,8/14/2008 0:00,2008-08-14 00:00:00,,,2008-08-14 00:00:00,,,EXACT_DATE
26.1619,91.7697,India_Media_Catalog,6/27/2014 0:00,2014-06-27 00:00:00,,,2014-06-27 00:00:00,,,EXACT_DATE
25.0604,93.9877,India_Media_Catalog,9/8/2007 0:00,2007-09-08 00:00:00,,,2007-09-08 00:00:00,,,EXACT_DATE
25.0951,92.3567,India_Media_Catalog,6/13/2012 0:00,2012-06-13 00:00:00,,,2012-06-13 00:00:00,,,EXACT_DATE
27.2743,92.9064,India_Media_Catalog,7/16/2011 0:00,2011-07-16 00:00:00,,,2011-07-16 00:00:00,,,EXACT_DATE
25.7238,89.9032,India_Media_Catalog,9/23/2014 0:00,2014-09-23 00:00:00,,,2014-09-23 00:00:00,,,EXACT_DATE
24.9849,92.8411,India_Media_Catalog,5/20/2008 0:00,2008-05-20 00:00:00,,,2008-05-20 00:00:00,,,EXACT_DATE
25.5007,93.9854,India_Media_Catalog,7/22/2015 0:00,2015-07-22 00:00:00,,,2015-07-22 00:00:00,,,EXACT_DATE
24.3069,93.125,India_Media_Catalog,9/16/2010 3:00,2010-09-16 03:00:00,,,2010-09-16 03:00:00,,,EXACT_DATE
25.6263,94.1057,India_Media_Catalog,8/20/2015 18:00,2015-08-20 18:00:00,,,2015-08-20 18:00:00,,,EXACT_DATE
28.1737,94.7596,India_Media_Catalog,8/18/2015 0:00,2015-08-18 00:00:00,,,2015-08-18 00:00:00,,,EXACT_DATE
27.0869,93.6086,India_Media_Catalog,8/17/2014 0:00,2014-08-17 00:00:00,,,2014-08-17 00:00:00,,,EXACT_DATE
23.8447,93.0514,India_Media_Catalog,8/26/2015 0:00,2015-08-26 00:00:00,,,2015-08-26 00:00:00,,,EXACT_DATE
25.5772,91.8666,India_Media_Catalog,9/23/2014 3:00,2014-09-23 03:00:00,,,2014-09-23 03:00:00,,,EXACT_DATE
25.5498,92.0757,India_Media_Catalog,6/13/2012 0:00,2012-06-13 00:00:00,,,2012-06-13 00:00:00,,,EXACT_DATE
24.8142,93.5444,India_Media_Catalog,6/10/2012 0:00,2012-06-10 00:00:00,,,2012-06-10 00:00:00,,,EXACT_DATE
25.0477,92.801,India_Media_Catalog,7/25/2010 0:00,2010-07-25 00:00:00,,,2010-07-25 00:00:00,,,EXACT_DATE
25.70223725,94.04619681,India_Media_Catalog,8/13/2010 0:00,2010-08-13 00:00:00,,,2010-08-13 00:00:00,,,EXACT_DATE
26.1844,91.7896,India_Media_Catalog,6/26/2014 23:00,2014-06-26 23:00:00,,,2014-06-26 23:00:00,,,EXACT_DATE
24.2451,94.0691,India_Media_Catalog,9/10/2007 0:00,2007-09-10 00:00:00,,,2007-09-10 00:00:00,,,EXACT_DATE
25.6237,94.1136,India_Media_Catalog,8/12/2015 0:00,2015-08-12 00:00:00,,,2015-08-12 00:00:00,,,EXACT_DATE
24.4072,94.0644,India_Media_Catalog,8/1/2015 0:00,2015-08-01 00:00:00,,,2015-08-01 00:00:00,,,EXACT_DATE
23.7527,92.694,India_Media_Catalog,9/16/2010 0:00,2010-09-16 00:00:00,,,2010-09-16 00:00:00,,,EXACT_DATE
26.138,94.25,India_Media_Catalog,8/19/2008 0:00,2008-08-19 00:00:00,,,2008-08-19 00:00:00,,,EXACT_DATE
23.9939,94.0573,India_Media_Catalog,8/1/2015 0:00,2015-08-01 00:00:00,,,2015-08-01 00:00:00,,,EXACT_DATE
26.49349035,91.72137514,India_Media_Catalog,9/1/2015 0:00,2015-09-01 00:00:00,,,2015-09-01 00:00:00,,,EXACT_DATE
25.67,94.1066,India_Media_Catalog,8/29/2008 0:00,2008-08-29 00:00:00,,,2008-08-29 00:00:00,,,EXACT_DATE
24.9356,93.8443,India_Media_Catalog,7/31/2010 9:00,2010-07-31 09:00:00,,,2010-07-31 09:00:00,,,EXACT_DATE
24.7543,93.5039,India_Media_Catalog,6/7/2010 0:00,2010-06-07 00:00:00,,,2010-06-07 00:00:00,,,EXACT_DATE
23.7131,92.7362,India_Media_Catalog,6/19/2015 0:00,2015-06-19 00:00:00,,,2015-06-19 00:00:00,,,EXACT_DATE
26.3897,94.9439,India_Media_Catalog,8/16/2013 0:00,2013-08-16 00:00:00,,,2013-08-16 00:00:00,,,EXACT_DATE
25.1416,92.3807,India_Media_Catalog,8/19/2015 0:00,2015-08-19 00:00:00,,,2015-08-19 00:00:00,,,EXACT_DATE
23.73478778,92.72124394,India_Media_Catalog,10/5/2009 0:00,2009-10-05 00:00:00,,,2009-10-05 00:00:00,,,EXACT_DATE
25.0728,92.3636,India_Media_Catalog,8/19/2015 0:00,2015-08-19 00:00:00,,,2015-08-19 00:00:00,,,EXACT_DATE
