event_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,label,sample_type,event_date_source,nearest_grid_distance_km,nearest_grid_latitude,nearest_grid_longitude,grid_distance_valid,rainfall_temporal_coverage,all_rainfall_features_available
109,26.222,94.9152,2010-08-14,1778.078369140625,29.12509536743164,313.4775695800781,4276.0,10.0,24.14681625366211,49.55095386505127,79.44044828414917,180.9318710565567,392.01923340559006,1,landslide_event,event_date_standardized,9.018438380805305,26.25,95.0,True,FULL,True
79,26.0814,94.803,2010-08-14,947.626220703125,37.372291564941406,32.140419006347656,4276.0,10.0,12.533965110778809,25.197931051254272,45.82864475250244,145.9630540907383,329.8034137189388,1,landslide_event,event_date_standardized,10.492147011648164,26.0,94.75,True,FULL,True
272,26.148,94.8422,2010-08-14,1528.6558837890625,26.35123443603516,10.615458488464355,4276.0,10.0,19.046655654907227,38.311957359313965,69.36610317230225,175.20855033397675,370.97349494695663,1,landslide_event,event_date_standardized,14.614689932677669,26.25,94.75,True,FULL,True
28,25.31006064,94.48265093,2010-08-15,1534.9505615234375,29.56004524230957,126.68748474121094,4276.0,30.0,14.80260181427002,36.397499084472656,46.37282237410545,111.34195178747177,345.86844208836555,1,landslide_event,event_date_standardized,6.906485812219305,25.25,94.5,True,FULL,True
318,26.2753,94.6654,2010-08-17,1154.0389404296875,28.59084701538086,310.3680114746094,4276.0,10.0,16.19354248046875,80.32765769958496,124.79991388320923,220.3722287416458,424.57722276449203,1,landslide_event,event_date_standardized,8.900082074318888,26.25,94.75,True,FULL,True
84,25.61560252,94.11603493,2010-08-19,1607.4580078125,32.041446685791016,111.2265167236328,4276.0,30.0,15.093090057373049,26.05495548248291,78.83641457557678,88.71177771687508,341.3924062550068,1,landslide_event,event_date_standardized,17.311822348415866,25.5,94.0,True,FULL,True
80,24.8961,93.4957,2010-08-19,1017.2667846679688,16.193531036376953,125.95889282226562,4301.0,10.0,9.881393432617188,12.846706688404083,42.85710197687149,55.5944564640522,213.662605792284,1,landslide_event,event_date_standardized,11.574105780347441,25.0,93.5,True,FULL,True
77,26.1984,94.8158,2010-08-19,1878.4278564453125,22.23193359375,326.9003601074219,4276.0,10.0,16.913890838623047,38.646554470062256,133.17068815231323,177.89257776737213,414.2937816977501,1,landslide_event,event_date_standardized,8.72435924754095,26.25,94.75,True,FULL,True
137,25.5718,94.1211,2010-08-21,1618.675537109375,5.658908367156982,14.910490036010742,4276.0,50.0,32.590938568115234,60.28028202056885,103.6040735244751,133.09392449259758,313.6135528385639,1,landslide_event,event_date_standardized,14.489230152600518,25.5,94.0,True,FULL,True
236,25.4786,94.1327,2010-08-27,1762.3734130859375,7.410953044891357,343.1671142578125,4276.0,10.0,13.420442581176758,25.34966802597046,150.43415212631226,235.2209655046463,346.90620800852776,1,landslide_event,event_date_standardized,11.945970714255175,25.5,94.25,True,FULL,True
57,24.7505,93.4221,2010-08-27,793.0284423828125,6.406473159790039,252.3161773681641,4301.0,10.0,1.011186122894287,11.615530923008919,17.6162156611681,57.144831478595734,157.1561106145382,1,landslide_event,event_date_standardized,7.77427977336299,24.75,93.5,True,FULL,True
249,27.3392,88.6188,2010-08-27,1888.8125,25.99549102783203,134.21571350097656,3662.0,10.0,70.56049346923828,159.86095809936523,277.7849521636963,476.5526432991028,731.0437397956848,1,landslide_event,event_date_standardized,15.464733001247357,27.25,88.5,True,FULL,True
48,27.3702,88.7334,2010-09-04,3523.580078125,3.187097549438477,286.8574523925781,3717.0,30.0,9.774760246276855,35.791534185409546,58.56629776954651,419.2523229122162,821.6442582607269,1,landslide_event,event_date_standardized,13.482823073000517,27.25,88.75,True,FULL,True
244,28.3036,95.4112,2010-09-09,1800.0015869140625,48.01810836791992,112.00715637207033,11864.0,10.0,21.01597213745117,46.12934160232544,90.14911699295044,143.52643571794033,270.4125516265631,1,landslide_event,event_date_standardized,10.683378135900726,28.25,95.5,True,FULL,True
74,27.0011,93.7273,2010-09-10,109.28465270996094,3.8665931224823,325.0473327636719,3683.0,40.0,31.753637313842773,72.62800288200378,121.09361243247986,221.57005035877228,414.35951448976994,1,landslide_event,event_date_standardized,2.2686681772219788,27.0,93.75,True,FULL,True
312,25.63961883,94.11112157,2010-09-12,1493.7166748046875,24.355453491210938,92.02509307861328,4276.0,50.0,0.2190285325050354,6.0842514634132385,44.21942573785782,125.4026307463646,352.4340814948082,1,landslide_event,event_date_standardized,16.55179032246159,25.75,94.0,True,FULL,True
208,22.7176,92.8416,2010-09-13,729.5139770507812,31.68890953063965,90.78144073486328,4301.0,10.0,6.895749568939209,103.82600736618042,157.04517364501953,318.83132100105286,573.3590936660767,1,landslide_event,event_date_standardized,9.827094708824433,22.75,92.75,True,FULL,True
23,23.591,92.9296,2010-09-13,789.679931640625,8.309388160705566,274.537841796875,4301.0,10.0,9.57053565979004,53.63579559326172,73.79247260093689,277.674831032753,489.80572259426117,1,landslide_event,event_date_standardized,12.327958960510811,23.5,93.0,True,FULL,True
277,23.72988966,92.71495623,2010-09-13,990.5125732421876,27.76064109802246,292.2981872558594,3665.0,10.0,10.891241073608398,40.28853797912598,63.73694133758545,228.87560510635376,402.4348909854889,1,landslide_event,event_date_standardized,4.152375013700091,23.75,92.75,True,FULL,True
251,23.3439,93.0748,2010-09-13,1315.960693359375,32.6228141784668,98.87903594970705,4301.0,10.0,9.373889923095703,64.87385559082031,91.76750755310059,299.7439306974411,531.7310223579407,1,landslide_event,event_date_standardized,12.84469063301454,23.25,93.0,True,FULL,True
78,23.75406693,92.74128531,2010-09-13,978.6586303710938,30.205677032470703,80.6833267211914,3665.0,50.0,10.891241073608398,40.28853797912598,63.73694133758545,228.87560510635376,402.4348909854889,1,landslide_event,event_date_standardized,0.9804705011325303,23.75,92.75,True,FULL,True
106,23.74182634,92.7141905,2010-09-13,943.8895263671876,19.73172187805176,300.9390563964844,3665.0,50.0,10.891241073608398,40.28853797912598,63.73694133758545,228.87560510635376,402.4348909854889,1,landslide_event,event_date_standardized,3.687648186888321,23.75,92.75,True,FULL,True
